edge_id,from_node,to_node,base_length,base_speed_limit,road_type,lanes,is_oneway
179,57046703,1628415525,45.644,50.0,residential,1,1
180,57046703,1319999680,86.666,30.0,residential,1,1
181,57046720,57046723,21.682,50.0,secondary,3,1
182,57046720,1724608653,31.066000000000003,50.0,secondary_link,1,1
183,57046723,384759545,10.73,50.0,secondary,3,1
184,57046723,1724608653,21.949,50.0,residential,2,1
185,57046734,384671148,69.676,50.0,residential,1,1
186,57046734,384669147,144.288,50.0,residential,2,1
187,57046735,334740172,100.775,50.0,residential,1,1
188,57046735,57046734,62.129999999999995,50.0,residential,1,1
189,197465978,2769638369,18.729,50.0,residential,1,0
190,197465978,417763275,74.825,70.0,secondary,2,1
191,197465978,417762830,41.455,50.0,residential,1,1
192,197469603,314749766,19.105,50.0,tertiary_link,1,1
193,197469603,2349733328,35.315,50.0,primary,4,1
194,197470097,3147530487,13.566,60.0,secondary,2,1
195,197470097,1107315954,26.628999999999998,50.0,tertiary,1,1
196,200661227,1571656581,246.019,50.0,secondary,3,1
197,211483838,6479020109,18.37,50.0,tertiary,3,1
198,211483838,2326837683,30.665,50.0,primary,3,1
199,267815053,4469983969,9.37,50.0,tertiary,1,1
200,267815053,284880414,131.924,50.0,secondary,1,1
201,267815381,2777011573,6.516,50.0,tertiary,1,1
202,267815381,1227328,112.271,50.0,tertiary,1,1
203,267816148,332205125,100.237,50.0,tertiary,1,1
204,267816148,412519048,78.839,30.0,residential,1,0
205,267817909,34132762,86.628,30.0,residential,1,1
206,267817909,412402858,117.401,50.0,tertiary,1,1
207,267818057,339482136,73.468,50.0,tertiary,1,1
208,267818057,412403935,236.252,30.0,residential,1,1
209,267819097,2469848138,118.416,30.0,residential,1,1
210,267819097,1226802,82.436,50.0,secondary,2,1
211,267819605,1227332,240.56900000000002,30.0,residential,1,1
212,267819605,34132766,65.265,50.0,tertiary,2,1
213,268217756,1199373034,6.99,50.0,tertiary,2,0
214,268217756,472591134,79.42999999999999,30.0,residential,1,1
215,268217756,1931844453,59.415,50.0,tertiary,2,0
216,268217765,900645779,56.082,50.0,primary,4,1
217,268217765,591891241,65.903,50.0,motorway_link,3,1
218,268217769,1574692716,9.564,50.0,tertiary,3,1
219,268217769,286542230,146.501,50.0,secondary,3,1
220,268217771,318758392,21.312,50.0,secondary,4,1
221,268217771,10567705312,34.412,50.0,tertiary,2,1
222,270425869,2309144530,28.945,70.0,trunk,4,1
223,270425869,8557525209,34.230999999999995,60.0,trunk_link,2,1
224,270425869,270425874,166.01500000000001,60.0,secondary,2,1
225,270425874,3930029984,124.159,60.0,secondary,2,1
226,270425885,291706037,273.507,60.0,secondary,3,1
227,270425900,339417557,17.028,50.0,secondary,3,1
228,270425900,336077734,23.541,60.0,secondary,1,1
229,270425921,270425900,20.321,60.0,secondary,1,1
230,270425921,558703048,93.057,50.0,secondary,3,1
231,270425997,800835093,86.66799999999999,50.0,secondary_link,1,1
232,270425997,312283100,73.424,60.0,secondary,4,1
233,270426018,1252167844,14.004,50.0,secondary,4,1
234,270426018,2990821010,47.013,50.0,tertiary,1,1
235,270480918,1627585,80.41600000000001,50.0,secondary,2,1
236,270490795,530185824,18.965,50.0,tertiary,1,0
237,270490795,3676466170,74.06200000000001,50.0,tertiary,1,1
238,270490795,415442186,67.24799999999999,50.0,tertiary,3,0
239,271326030,332212528,18.722,70.0,secondary,1,1
240,271326030,361102390,118.221,80.0,trunk,3,1
241,271878245,1107315941,12.128,50.0,residential,1,0
242,271878245,416627757,219.54999999999998,50.0,tertiary,1,1
243,271878258,1164229489,32.203,50.0,primary,1,1
244,271878258,346202826,13.985,50.0,tertiary,1,1
245,271878268,271878300,61.685,50.0,tertiary,1,0
246,271878268,416638912,169.171,50.0,tertiary,1,0
247,271878268,271878283,99.553,30.0,residential,1,0
248,271878283,416613788,61.76,30.0,residential,1,0
249,271878283,271878268,99.553,30.0,residential,1,0
250,271878283,416634515,143.11,30.0,residential,1,0
251,271878297,381571872,28.725,50.0,tertiary,1,1
252,271878297,381480093,451.474,50.0,tertiary,1,0
253,271878300,271878268,61.685,50.0,tertiary,1,0
254,271878300,1170469323,15.693,50.0,tertiary,1,1
255,271878405,1170498425,33.396,30.0,residential,1,0
256,271878405,381478349,73.94699999999999,30.0,residential,1,0
257,271878405,1170469329,142.14499999999998,30.0,residential,1,1
258,271878423,5914178744,21.294,30.0,tertiary,1,0
259,271878423,1164229476,11.89,30.0,tertiary,1,0
260,271878423,336099012,103.273,50.0,primary,1,1
261,271878426,417762870,26.814,50.0,residential,1,1
262,271878426,1156243184,341.87,70.0,primary,1,1
263,279713588,2365353783,34.503,50.0,residential,1,1
264,279713588,357518612,24.38,50.0,residential,1,1
265,279713608,279713616,70.597,50.0,residential,3,0
266,279713608,4010257603,77.476,50.0,residential,2,0
267,279713608,357498733,42.793,30.0,residential,1,1
268,279713616,279713608,70.597,50.0,residential,3,0
269,279713616,384676600,124.23599999999999,50.0,residential,2,1
270,279713616,384648823,76.711,50.0,residential,2,1
271,280004122,10985378489,315.062,50.0,residential,1,1
272,280004122,10985378458,63.286,50.0,residential,1,0
273,282404352,287237219,22.484,50.0,tertiary,1,1
274,282404352,10790642194,17.545,50.0,tertiary,1,1
275,282407636,284899643,65.638,30.0,residential,1,1
276,282407636,444731151,74.29899999999999,50.0,tertiary,2,0
277,282407636,4664862036,169.808,50.0,tertiary,2,0
278,282407637,284893128,70.129,30.0,residential,1,0
279,282407637,1122085779,75.12299999999999,30.0,residential,1,1
280,282458041,1678949818,9.346,50.0,tertiary,3,1
281,282458041,3980709597,27.58,50.0,tertiary,2,1
282,282458047,34650802,100.51,30.0,residential,1,1
283,282458047,1187703941,83.422,50.0,tertiary,3,1
284,282458079,283612318,104.056,30.0,residential,1,1
285,282458079,311001060,85.471,50.0,tertiary,2,1
286,282458089,282458158,82.133,50.0,residential,1,1
287,282458089,311001044,78.829,30.0,residential,1,1
288,282458093,282458089,74.402,50.0,residential,1,1
289,282458093,384636415,95.687,30.0,residential,1,1
290,282458158,7768335018,175.578,50.0,residential,1,1
291,282458158,1643308435,70.061,30.0,residential,1,1
292,282458166,2374499613,6.655,50.0,residential,1,1
293,282458166,339468118,71.124,50.0,tertiary,1,1
294,282458173,282458166,155.566,50.0,residential,1,1
295,282458173,2093421792,49.634,50.0,residential,1,0
296,282458178,282458173,77.451,50.0,residential,1,1
297,282458178,3699173911,83.09100000000001,30.0,living_street,1,0
298,282458212,1574582410,16.832,50.0,residential,1,1
299,282458212,1574692660,34.929,50.0,tertiary,2,1
300,282458259,540455192,68.95700000000001,50.0,residential,1,1
301,282458259,12514343253,134.051,50.0,residential,1,0
302,282458294,1390474308,12.526,50.0,tertiary,3,1
303,282458294,1695278939,87.346,50.0,tertiary,1,1
304,282458314,1329703,199.291,50.0,tertiary,1,1
305,282458426,282458435,88.87900000000002,50.0,trunk_link,2,1
306,282458426,270425869,65.286,60.0,secondary,2,1
307,282458435,1104543065,228.153,70.0,trunk,4,1
308,282458464,316022679,20.947,60.0,trunk,4,1
309,282458464,1104543089,48.608000000000004,70.0,secondary_link,2,1
310,283612318,282458047,82.301,50.0,tertiary,3,1
311,283612318,1187703954,21.793,30.0,residential,1,1
312,283621168,2380561349,8.666,50.0,tertiary,2,1
313,283621168,412815787,79.461,50.0,tertiary,2,1
314,284641794,352940549,77.458,50.0,tertiary,1,0
315,284641794,352936412,9.691,50.0,tertiary,1,0
316,284641794,6063048202,147.565,50.0,tertiary,1,1
317,284880414,339420952,4.489,50.0,tertiary,1,0
318,284880414,2138045005,89.14500000000001,50.0,secondary,1,1
319,284886812,284893128,211.27800000000002,30.0,residential,1,1
320,284886812,1122085780,67.236,30.0,residential,1,1
321,284891705,284900755,81.14,30.0,residential,1,0
322,284891705,306558978,174.851,30.0,residential,1,1
323,284893128,284891705,83.867,30.0,residential,1,1
324,284893128,282407637,70.129,30.0,residential,1,0
325,284899643,282407637,224.387,30.0,residential,1,1
326,284899643,306558978,62.909,30.0,residential,1,1
327,284900755,284891705,81.14,30.0,residential,1,0
328,284900755,331421759,145.05900000000003,30.0,residential,1,1
329,284903708,285953225,144.943,30.0,residential,1,1
330,284903708,284915969,77.064,30.0,residential,1,1
331,284903708,4664862036,75.174,30.0,residential,1,0
332,284905902,284911366,124.164,30.0,residential,1,1
333,284911361,284905902,87.991,30.0,residential,1,1
334,284911361,476367059,176.668,30.0,residential,1,1
335,284911366,476367059,137.21300000000002,30.0,residential,1,1
336,284911366,444731120,72.911,30.0,residential,1,1
337,284915964,288134274,162.897,50.0,tertiary,1,0
338,284915964,387496222,45.273,50.0,tertiary,1,0
339,284915969,284915964,232.47699999999998,30.0,residential,1,1
340,284915969,284900755,173.708,30.0,residential,1,1
341,285953225,476368635,82.322,30.0,residential,1,1
342,285953228,285954389,69.79899999999999,30.0,residential,1,1
343,285953228,476368384,73.746,30.0,residential,1,1
344,285954389,4664862036,234.42600000000002,50.0,tertiary,2,0
345,285954389,4469983969,62.354000000000006,50.0,tertiary,2,0
346,285955351,331408674,65.731,30.0,residential,1,0
347,285955351,2166644193,73.582,50.0,secondary,1,1
348,286363134,338523129,56.83,50.0,tertiary,1,1
349,286363134,35288618,148.188,50.0,tertiary,1,1
350,286363135,290035378,72.524,30.0,residential,1,1
351,286363135,289089571,147.836,50.0,tertiary,1,1
352,286363730,35288613,117.10300000000001,50.0,tertiary,1,1
353,286366857,340232952,69.479,30.0,tertiary,1,1
354,286366857,290034965,218.98000000000002,30.0,"['residential', 'living_street']",1,1
355,286367279,1187734218,57.798,50.0,tertiary,2,0
356,286367279,412519798,63.19,50.0,tertiary,2,0
357,286367279,412519623,150.74,50.0,tertiary,1,1
358,286369057,1627531,64.083,30.0,tertiary,1,1
359,286542230,1143770888,15.572,50.0,tertiary,2,0
360,286542230,540426351,44.535,50.0,tertiary,1,1
361,286542230,540431326,88.375,50.0,secondary,3,1
362,286542239,540420291,60.777,50.0,residential,1,1
363,286542239,286643460,81.722,30.0,tertiary,1,1
364,286542525,406399586,280.577,30.0,tertiary,1,1
365,286542525,334738489,68.02,50.0,tertiary,2,1
366,286542525,12361652364,73.301,50.0,residential,1,0
367,286542526,540430472,114.949,50.0,residential,1,0
368,286542526,514355655,91.02699999999999,50.0,tertiary,2,1
369,286542526,4967488032,77.795,50.0,residential,1,1
370,286542661,2470035518,9.506,50.0,tertiary,2,1
371,286542661,8423778826,50.934,50.0,tertiary,1,1
372,286542729,1199953205,9.146,30.0,residential,1,1
373,286542729,6502045904,16.388,50.0,secondary,2,0
374,286542729,1199953171,83.62899999999999,50.0,secondary,2,0
375,286544166,286643406,55.828,50.0,primary,4,1
376,286544166,591891227,49.233,50.0,secondary,3,1
377,286544728,1449561809,12.565,50.0,secondary,2,1
378,286544728,4134443793,138.82,50.0,secondary,3,1
379,286546551,2473987503,65.988,50.0,tertiary,2,1
380,286546551,415442591,66.274,50.0,residential,1,1
381,286546551,1227320,108.78,50.0,tertiary,3,0
382,286546719,387494857,177.781,50.0,residential,1,1
383,286546719,34132757,67.927,50.0,tertiary,1,1
384,286643379,1568022547,165.779,50.0,residential,1,1
385,286643379,2995641085,269.86400000000003,50.0,secondary,3,1
386,286643406,268217765,18.117,50.0,secondary,3,1
387,286643406,591891217,46.821,50.0,secondary,3,1
388,286643420,3593580027,136.058,50.0,residential,1,1
389,286643420,317214577,73.623,50.0,residential,1,1
390,286643424,8629864199,15.103,50.0,residential,1,1
391,286643424,540427220,81.422,50.0,tertiary,3,1
392,286643432,366649858,54.756,50.0,tertiary,2,1
393,286643432,4833025980,41.805,30.0,residential,1,0
394,286643440,286643460,47.306000000000004,50.0,residential,1,1
395,286643444,384695042,20.045,50.0,tertiary,2,1
396,286643444,286643440,195.554,50.0,residential,1,1
397,286643451,366651349,40.175,50.0,residential,1,1
398,286643458,286643451,82.95599999999999,50.0,residential,1,1
399,286643458,1628430688,40.517,50.0,residential,1,1
400,286643460,366651300,44.854,50.0,residential,1,1
401,286643460,496176171,96.374,30.0,tertiary,1,1
402,286643465,286741983,148.419,50.0,tertiary,2,1
403,286643475,799417137,114.82,30.0,residential,1,1
404,286643475,1628430720,35.745,50.0,residential,1,1
405,286643492,3698767279,67.237,50.0,residential,1,1
406,286643494,2437718004,13.144,50.0,tertiary,1,1
407,286643494,3698767277,18.371000000000002,50.0,residential,1,1
408,286643575,8400880105,12.311,50.0,secondary,4,1
409,286643575,2989922193,16.716,50.0,motorway_link,2,1
410,286692486,2657949196,18.25,50.0,tertiary,1,1
411,286692486,549268178,172.949,50.0,secondary,3,1
412,286741983,8629864196,146.284,50.0,tertiary,3,1
413,286741983,2469958094,8.779,50.0,tertiary,2,1
414,286754329,2139243366,38.139,50.0,residential,1,1
415,286754329,366651303,46.967,50.0,tertiary,2,1
416,286763487,1234762930,12.871,50.0,secondary,2,1
417,286763487,1234762956,30.076999999999998,50.0,secondary,3,1
418,287081614,521584041,17.908,50.0,residential,1,0
419,287081614,6538159016,98.05,30.0,residential,1,0
420,287081614,953967417,240.938,70.0,secondary,1,1
421,287081618,354046048,18.546,50.0,tertiary,3,1
422,287081618,1141926383,37.480000000000004,50.0,tertiary,2,1
423,287081741,361094746,20.06,60.0,secondary,2,1
424,287081741,3930029983,29.583000000000002,70.0,tertiary,2,1
425,287237219,10790642194,9.085,50.0,residential,1,1
426,287237219,10790642191,17.28,50.0,tertiary,1,1
427,287237222,1627584,217.952,30.0,tertiary,1,1
428,287237222,10790642147,194.02399999999997,30.0,tertiary,1,0
429,287237424,3599592480,83.91300000000001,30.0,residential,1,0
430,287237424,287237779,90.593,30.0,residential,1,1
431,287237690,287237691,94.302,30.0,residential,1,0
432,287237690,387496059,136.125,30.0,residential,1,1
433,287237691,287237690,94.302,30.0,residential,1,0
434,287237779,476369184,16.19,50.0,tertiary,1,0
435,287237779,387496222,107.109,50.0,tertiary,1,0
436,287570531,287570954,75.574,30.0,residential,1,1
437,287570531,384741759,169.911,30.0,residential,1,1
438,287570954,384644922,84.54100000000001,50.0,residential,1,1
439,287570954,384644922,521.181,30.0,residential,1,1
440,287571173,384660226,68.981,30.0,residential,1,1
441,287571173,384654416,69.253,50.0,residential,1,1
442,287572290,1187703953,21.683999999999997,50.0,tertiary,3,1
443,287572290,311001060,131.032,30.0,tertiary,1,1
444,288134139,530185827,11.009,50.0,tertiary,1,0
445,288134139,2473987478,168.404,50.0,secondary,3,1
446,288134139,10578420614,27.678,50.0,tertiary,1,0
447,288134274,284915964,162.897,50.0,tertiary,1,0
448,288134274,476368384,132.933,50.0,tertiary,1,0
449,288134274,289089574,91.99000000000001,30.0,residential,1,1
450,288134276,1107292317,14.45,50.0,tertiary,1,1
451,288134276,339421079,158.01,50.0,tertiary,3,1
452,288134277,10578420614,64.038,50.0,tertiary,1,1
453,289069621,289069622,17.106,50.0,tertiary,4,1
454,289069621,1104550226,1063.908,80.0,trunk,1,1
455,289069622,354039615,21.358,80.0,trunk,4,1
456,289069622,12404428906,28.625999999999998,50.0,tertiary,4,1
457,289069626,2111357755,23.451,50.0,tertiary,1,1
458,289069626,440061585,8.079,50.0,secondary,1,1
459,289069630,440061684,91.438,30.0,tertiary,2,0
460,289069630,2111357789,5.463,50.0,tertiary,1,1
461,289069644,440062369,112.866,30.0,residential,1,0
462,289069644,11498283483,83.086,30.0,tertiary,1,1
463,289087257,603554588,8.941,50.0,secondary,1,1
464,289087257,806982247,127.843,50.0,tertiary,1,1
465,289087265,3147530513,20.013,30.0,tertiary,1,1
466,289087265,415452402,12.489,70.0,secondary,1,1
467,289089571,338523939,66.252,50.0,tertiary,1,1
468,289089571,338523658,85.08500000000001,50.0,tertiary,1,1
469,289089572,336079092,57.17700000000001,50.0,tertiary,1,1
470,289089572,286363134,18.197,50.0,tertiary,1,1
471,289089573,412518361,113.927,50.0,tertiary,1,1
472,289089573,352936084,55.094,50.0,tertiary,1,1
473,289089574,287237690,78.847,30.0,residential,1,1
474,289089574,579613769,118.08,30.0,residential,1,1
475,289496747,289501488,58.103,30.0,residential,1,1
476,289496747,9709161880,119.568,50.0,residential,1,1
477,289496750,10981805276,106.722,30.0,residential,1,1
478,289496750,290612973,58.7,50.0,secondary,2,1
479,289496956,340424076,27.87,50.0,secondary,1,1
480,289496956,289501484,54.013000000000005,30.0,residential,1,0
481,289498191,2374499621,10.127,50.0,residential,1,0
482,289498191,289496956,71.251,50.0,secondary,1,1
483,289498191,10977776669,75.795,50.0,residential,1,0
484,289499143,3988271548,521.8839999999999,50.0,residential,1,0
485,289499143,9709113999,9.208,50.0,residential,1,1
486,289501484,289501488,200.645,50.0,residential,1,1
487,289501484,289496956,54.013000000000005,30.0,residential,1,0
488,289501488,2143632941,53.799,30.0,residential,1,1
489,289502961,2374499617,16.686,50.0,residential,1,1
490,289502961,939855179,20.619,50.0,tertiary,3,1
491,289502966,3739773083,114.363,50.0,residential,1,1
492,289502966,12292683837,101.43799999999999,50.0,secondary,4,0
493,289502966,289503067,80.475,50.0,secondary,4,0
494,289503064,289503319,82.715,50.0,residential,1,0
495,289503064,289503065,118.597,50.0,residential,1,0
496,289503064,289503541,98.001,50.0,residential,1,0
497,289503064,6041090849,62.467999999999996,50.0,residential,1,0
498,289503065,289503064,118.597,50.0,residential,1,0
499,289503065,289503947,168.188,50.0,residential,1,0
500,289503065,289503067,93.38,50.0,residential,1,1
501,289503067,289502966,80.475,50.0,secondary,4,0
502,289503067,12292683830,85.76,50.0,secondary,4,0
503,289503068,412816227,81.125,50.0,residential,1,0
504,289503068,3699173870,38.727,50.0,residential,1,1
505,289503068,412816145,95.629,50.0,residential,1,0
506,289503319,289503064,82.715,50.0,residential,1,0
507,289503319,289503068,123.954,50.0,residential,1,1
508,289503541,4017282123,9.411,50.0,residential,1,0
509,289503541,3699173848,11.327,50.0,residential,1,0
510,289503541,289503064,98.001,50.0,residential,1,0
511,289503541,3699173847,96.67200000000001,50.0,residential,1,0
512,289503947,289503065,168.188,50.0,residential,1,0
513,289503947,3699173848,130.482,50.0,residential,1,1
